mcap_rank,code,name,market,market_cap,close,volume,value_krw
170,080220,제주반도체,,2576757568359,73500,928177,68221009500
171,004370,농심보통주,,2550136240482,432500,23944,10355780000
172,357780,솔브레인,,2546503001451,326000,23859,7778034000
173,204320,HL만도보통주,,2542142800140,51500,409100,21068650000
174,012750,에스원보통주,,2539148865128,76800,42811,3287884800
175,026960,동서보통주,,2516149349213,25700,44503,1143727100
176,064760,티씨케이,,2494875306129,225500,58313,13149581500
177,031980,피에스케이홀딩스,,2488300614166,107500,140031,15053332500
178,178320,서진시스템,,2469648625183,36250,828881,30046936250
179,282330,BGF리테일보통주,,2466872124481,141400,51195,7238973000
180,067310,하나마이크론,,2453513014984,35000,1408725,49305375000
181,095610,테스,,2436312517548,132900,262340,34864986000
182,007340,디엔오토모티브보통주,,2408607884789,44200,439661,19433016200
183,005850,에스엘보통주,,2378947856140,52400,84634,4434821600
184,011170,롯데케미칼보통주,,2331843317032,54300,100825,5474797500
185,383220,F&F보통주,,2326373779678,62200,40215,2501373000
186,237690,에스티팜,,2315219199944,99700,419835,41857549500
187,226950,올릭스,,2304275685501,98100,404981,39728636100
188,058610,에스피지,,2293138882065,95500,456709,43615709500
189,279570,"K Bank Co., Ltd.",,2263778992310,5620,501495,2818401900
190,181710,NHN보통주,,2246492521095,75200,439938,33083337600
191,000240,한국앤컴퍼니보통주,,2235348095703,23250,90963,2114889750
192,007070,지에스리테일보통주,,2231201454163,25800,217734,5617537200
193,005290,동진쎄미켐,,2201909326172,41100,410707,16880057700
194,214150,클래시스,,2200840759277,32150,258745,8318651750
195,081660,미스토홀딩스보통주,,2190038352012,41750,78045,3258378750
196,103140,풍산 보통주,,2157827934264,77800,84521,6575733800
197,073240,금호타이어보통주,,2131471310424,7250,3210719,23277712750
198,032820,우리기술,,2106225200042,11890,1513143,17991270270
